LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
Livingston,0,#N/A,Michigan,9,1,0,,Livingston Michigan,26093,180967,177
St. Clair,0,#N/A,Michigan,7,,0,,St. Clair Michigan,26147,163040,398
Monroe,0,#N/A,Michigan,7,1,0,,Monroe Michigan,26115,152021,217
Berrien,0,#N/A,Michigan,5,2,0,,Berrien Michigan,26021,156813,512
Midland,0,#N/A,Michigan,5,,0,,Midland Michigan,26111,83629,308
Out of State,2,#N/A,Michigan,4,2,0,,Out of State Michigan,#N/A,#N/A,#N/A
Calhoun,0,#N/A,Michigan,3,1,0,,Calhoun Michigan,26025,136146,291
Kalamazoo,0,#N/A,Michigan,3,3,0,,Kalamazoo Michigan,26077,250331,821
Otsego,0,#N/A,Michigan,3,2,0,,Otsego Michigan,26137,24164,46
Bay,0,#N/A,Michigan,2,1,0,,Bay Michigan,26017,107771,389
Eaton,0,#N/A,Michigan,2,,0,,Eaton Michigan,26045,107759,45
Saginaw,0,#N/A,Michigan,2,,0,,Saginaw Michigan,26145,200169,968
Charlevoix,0,#N/A,Michigan,2,,0,,Charlevoix Michigan,26029,25949,25
Clinton,0,#N/A,Michigan,2,,0,,Clinton Michigan,26037,75382,25
Allegan,0,#N/A,Michigan,1,,0,,Allegan Michigan,26005,111408,68
Clare,0,#N/A,Michigan,1,,0,,Clare Michigan,26035,30926,49
Montcalm,0,#N/A,Michigan,1,,0,,Montcalm Michigan,26117,63342,148
Jackson,0,#N/A,Michigan,1,,0,,Jackson Michigan,26075,160248,389
Leelanau,0,#N/A,Michigan,1,,0,,Leelanau Michigan,26089,21708,0
Barry,0,#N/A,Michigan,1,,0,,Barry Michigan,26015,59173,49
Tuscola,0,#N/A,Michigan,1,,0,,Tuscola Michigan,26157,55729,50
Gladwin,0,#N/A,Michigan,1,,0,,Gladwin Michigan,26051,25692,25
Emmet,0,#N/A,Michigan,1,,0,,Emmet Michigan,26047,32694,178
Grand Traverse,0,#N/A,Michigan,1,,0,,Grand Traverse Michigan,26055,86986,377
Roscommon,0,#N/A,Michigan,1,,0,,Roscommon Michigan,26143,24449,0
Chippewa,0,#N/A,Michigan,1,,0,,Chippewa Michigan,26033,38520,82
Muskegon,0,#N/A,Michigan,1,1,0,,Muskegon Michigan,26121,172188,413
Wexford,0,#N/A,Michigan,1,,0,,Wexford Michigan,26165,32735,49
Newaygo,0,#N/A,Michigan,1,1,0,,Newaygo Michigan,26123,48460,25
category Illinois,1,#N/A,Illinois,1285,235,12,5,category Illinois Illinois,#N/A,#N/A,#N/A
Cook,0,#N/A,Illinois,922,117,9,5,Cook Illinois,17031,5194675,17992
Lake,0,#N/A,Illinois,96,27,0,,Lake Illinois,17097,703462,968
